# BEAST v1.8.2, r6687
# Generated Sun Jan 24 12:06:37 EST 2016 [seed=1453655180944]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-2)	tmrca(HIV-1)	constant.popSize	kappa	alpha	clock.rate	treeLikelihood	coalescent
0	-606583.2431664434	-432.4273982908398	-606150.8157681526	1372.6053169154864	561.6397439072292	392.9307535094648	330.0	2.0	0.5	7.5E-4	-606150.8157681526	-425.0371001258446
1000	-391153.6282021851	-548.6574527924987	-390604.9707493926	1665.3293144111121	1665.3293144111121	707.9618443391098	6126.804826679492	2.0	0.3941734321133896	6.42655991358853E-4	-390604.9707493926	-538.5001278992111
2000	-366154.9148883568	-537.595100440685	-365617.31978791615	1098.7881999581227	333.5392099230602	1015.7935865672938	6764.075408987895	2.6576771315501135	0.3941734321133896	7.093190560257561E-4	-365617.31978791615	-526.9858888992611
3000	-342199.0332394098	-521.8590131703977	-341677.1742262394	778.7145060714579	273.2984517609297	670.0938470462605	5044.477634430352	2.6576771315501135	0.3941734321133896	7.501075495342138E-4	-341677.1742262394	-511.4872778098772
4000	-328991.26904288295	-504.1379879587979	-328487.13105492416	649.8471832568387	224.5783778096246	337.74113042585066	3801.6587674854272	3.3304933390861184	0.42356461754305985	0.0010429058533486587	-328487.13105492416	-493.4811810749358
5000	-324069.3186465993	-483.54181009049154	-323585.7768365088	518.9152121931396	134.7345817413391	258.0954742085453	2321.0052284161557	3.3304933390861184	0.42356461754305985	0.0014723115163740976	-323585.7768365088	-473.03396199005255
6000	-321511.85850800865	-476.2461998162141	-321035.6123081924	499.9540452675893	120.25974637538796	232.6431409490904	1694.5255490086677	3.3304933390861184	0.42356461754305985	0.001640519726947499	-321035.6123081924	-465.94487784500643
7000	-319356.83267391234	-471.7230949299459	-318885.1095789824	492.0418076215806	114.65656811653753	212.41008510547198	1633.772633482859	3.3304933390861184	0.5396418760606237	0.0018884625561384487	-318885.1095789824	-461.31767447336875
8000	-318234.77668607945	-471.1960765245577	-317763.5806095549	479.61249122766054	115.46605146306739	218.4412832670715	1962.8983575131192	3.3304933390861184	0.5396418760606237	0.0018647383906270478	-317763.5806095549	-460.6197554197405
9000	-318122.49925771187	-473.55448643724424	-317648.94477127463	480.1204683223834	117.89996277618361	223.17534514949764	2236.9759347033596	3.3304933390861184	0.569642793157195	0.0017665982814321615	-317648.94477127463	-462.901473523426
10000	-318083.58541709813	-472.78606664892345	-317610.79935044923	479.5778580594016	126.79619652403147	222.9231225497286	2001.1707336691707	3.402261502114218	0.569642793157195	0.0018063999462373122	-317610.79935044923	-462.19795156718914
11000	-318085.16002306767	-472.2090964286222	-317612.950926639	481.2318952797171	125.83332403216991	220.3657594875295	1937.823940483226	3.402261502114218	0.569642793157195	0.0017876552625060685	-317612.950926639	-461.6635686800699
12000	-317924.4397610786	-471.48537557975817	-317452.9543854989	467.8073988052376	124.3149663873641	216.43757262484058	1682.775909748123	3.402261502114218	0.6905155938794711	0.0018489099335266374	-317452.9543854989	-461.04731097929107
13000	-317903.4987226497	-471.51836547522385	-317431.98035717447	464.8060484086222	124.3149663873641	216.43757262484058	1862.4958418067827	3.402261502114218	0.6905155938794711	0.001804290758737476	-317431.98035717447	-461.0032324662805
14000	-317906.1760334106	-473.3079611691993	-317432.86807224137	473.7270927969756	127.47161534628748	216.9303712571588	1680.6687241324064	3.402261502114218	0.6905155938794711	0.0017757992286143772	-317432.86807224137	-462.911454938036
15000	-317906.071823871	-470.08727042322516	-317435.98455344775	445.63412775823406	124.17165379270172	214.46224048938925	1869.6672628340998	3.402261502114218	0.6905155938794711	0.001873048426674333	-317435.98455344775	-459.5309320080339
16000	-317908.95717874693	-471.81305396742357	-317437.1441247795	464.3992265535698	127.33979849606372	219.2485641173962	1878.4847939045753	3.402261502114218	0.6905155938794711	0.0018114951742617229	-317437.1441247795	-461.2853918994666
17000	-317905.05414376676	-470.28106084878107	-317434.77308291796	456.81609919858914	124.40511931399752	213.11994177152587	1663.6657046680505	3.402261502114218	0.6905155938794711	0.0018823241642152548	-317434.77308291796	-459.83652442884863
18000	-317896.97710337973	-472.8872636478144	-317424.0898397319	457.86296249182254	125.14123873065677	217.80285465957547	1494.5028486775898	3.402261502114218	0.6905155938794711	0.0018409865558192203	-317424.0898397319	-462.5721405495729
19000	-317896.34437995916	-470.1402644870305	-317426.20411547215	446.67960876404806	122.04589710659138	212.41554789558313	1967.0722389670507	3.402261502114218	0.6905155938794711	0.0018861332546303694	-317426.20411547215	-459.52618567876925
20000	-317900.95953787764	-472.84907721207355	-317428.11046066554	463.92273852125754	128.81744570732954	221.57470816478417	2039.7427081849266	3.402261502114218	0.6905155938794711	0.0017628364270622313	-317428.11046066554	-462.2662582283666
21000	-317903.74427448516	-472.05699142619926	-317431.68728305894	455.2303904916795	127.39709406634404	217.57171203386378	2135.9467634221082	3.402261502114218	0.6905155938794711	0.0017824903103027935	-317431.68728305894	-461.4170098701402
22000	-317889.02056108904	-471.5023623582147	-317417.51819873083	452.7153257253566	125.04567798463236	216.52922427305202	2067.9564607667917	3.389271782137148	0.6905155938794711	0.001806992542547473	-317417.51819873083	-460.8854611376163
23000	-317889.79272679397	-472.7724862498996	-317417.02024054405	458.26019580654156	126.57724097629284	219.46755170402648	1561.1581211937744	3.389271782137148	0.6905155938794711	0.0017851282414849262	-317417.02024054405	-462.4488794769655
24000	-317886.4984769724	-473.29273820388283	-317413.2057387685	460.6448061303649	126.71457410872986	217.98703817526885	1493.1977356895898	3.389271782137148	0.6905155938794711	0.0017963191019442597	-317413.2057387685	-463.0073962775308
25000	-317889.1759285744	-469.73717083994575	-317419.43875773443	450.08932064306504	122.842253997288	209.6344442859953	1736.4256354990907	3.389271782137148	0.6905155938794711	0.0018596315570264521	-317419.43875773443	-459.2663159200545
26000	-317894.87973155116	-469.6517878290997	-317425.22794372204	447.4693555951316	121.81830480847007	207.88704050439685	1964.9060845716144	3.389271782137148	0.6896450615627555	0.0019393780525829248	-317425.22794372204	-459.0153701865292
27000	-317886.81700547924	-472.67003409459386	-317414.14697138465	463.7390555186161	126.55533703307552	219.45328720473876	2213.746149758293	3.217616521616909	0.6896450615627555	0.0017655075558961127	-317414.14697138465	-462.06665830678736
28000	-317898.29019953945	-473.3775559438011	-317424.91264359566	471.64692080866695	129.13199510171	222.27346065308566	1843.022684580563	3.217616521616909	0.6896450615627555	0.0017259902685536335	-317424.91264359566	-462.98007400363394
29000	-317895.01709187956	-472.95897084467884	-317422.0581210349	467.0754249348788	127.43496335302655	220.1190477577656	1872.3477030173233	3.217616521616909	0.6896450615627555	0.0017323434002653106	-317422.0581210349	-462.5420323557397
30000	-317891.8283638958	-472.63692618171103	-317419.1914377141	462.8782805536061	126.28983151379646	222.207190577678	1867.1735453769013	3.281025123774157	0.6896450615627555	0.0017463395553860388	-317419.1914377141	-462.1929729894627
31000	-317888.85458382464	-471.39782766102786	-317417.4567561636	455.39552732937943	124.24826749222112	219.97291722987615	1986.7698450080736	3.281025123774157	0.6896450615627555	0.0018049149005830195	-317417.4567561636	-460.8588315601382
32000	-317894.87257369247	-471.55241336316334	-317423.3201603293	458.05410853983875	124.46942108623755	220.3644542888111	1996.7435958889278	3.281025123774157	0.6896450615627555	0.0018386797182412735	-317423.3201603293	-460.98989391231214
33000	-317893.4044432461	-471.97472076014077	-317421.42972248595	460.1972816874387	125.05179665278294	221.39550973032388	2158.5622620365734	3.281025123774157	0.6903566793741085	0.0018301168493240084	-317421.42972248595	-461.33893987352104
34000	-317883.619562597	-471.67389450620243	-317411.94566809083	451.10645030328055	125.05179665278294	218.09219485782145	2169.0853679052657	3.281025123774157	0.6903566793741085	0.0018301168493240084	-317411.94566809083	-461.0332504109722
35000	-317887.99663967063	-470.97798361455193	-317417.0186560561	449.2839860392096	124.69613215658603	218.54836566436973	1979.7545059446445	3.281025123774157	0.6903566793741085	0.0018262968899447841	-317417.0186560561	-460.43075963043424
36000	-317894.62692754355	-470.1310714133558	-317424.4958561302	445.84241723797345	126.43406909243836	216.78022326339502	1847.884333036239	3.281025123774157	0.6903566793741085	0.001849125156792146	-317424.4958561302	-459.64036901816485
37000	-317893.65904763684	-474.56094973288367	-317419.09809790395	486.0490274515135	127.56618905242182	229.19717277315155	2193.4829382284283	3.281025123774157	0.6903566793741085	0.001720037659266947	-317419.09809790395	-463.9710922714918
38000	-317880.5731564834	-478.9871659230411	-317401.58599056036	517.8550257360371	146.29001712419873	243.0153245910477	2167.4080512473256	3.281025123774157	0.6903566793741085	0.001585695544358642	-317401.58599056036	-468.4905089741931
39000	-317873.60430482286	-478.81574457975734	-317394.7885602431	501.40217036745884	136.9064621714182	235.52397617290902	1543.6482547261637	3.281025123774157	0.6903566793741085	0.0016297560753001808	-317394.7885602431	-468.63109117367037
40000	-317875.2616997161	-478.67929354111254	-317396.582406175	513.1809806006868	141.96425615856305	241.8405511182805	1934.3354677611326	3.281025123774157	0.6903566793741085	0.001600363420788643	-317396.582406175	-468.2872063512908
41000	-317871.6959970352	-478.0655286139919	-317393.6304684212	509.90043963394663	141.05674092369244	240.29457052789724	2240.6407173470984	3.281025123774157	0.6903566793741085	0.0016034527627411493	-317393.6304684212	-467.5245167906819
42000	-317875.60079723154	-481.2360852959065	-317394.36471193563	540.2869535012359	146.4174269164933	251.84605161198496	2064.7819405752625	3.281025123774157	0.6903566793741085	0.0015291425471421717	-317394.36471193563	-470.82421546049096
43000	-317868.29336156225	-481.21274934567333	-317387.08061221655	536.9702816774187	147.08071660521924	249.35012295019067	1925.1838366493241	3.281025123774157	0.6903566793741085	0.0015179645519805987	-317387.08061221655	-470.8782121696186
44000	-317874.0571021751	-479.8107514586657	-317394.2463507164	528.0871454943349	144.6475502269454	249.6216615702705	2001.4705341190981	3.281025123774157	0.6903566793741085	0.0015434987577483139	-317394.2463507164	-469.42068879058235
45000	-317876.3551663009	-482.89116189163406	-317393.46400440927	552.2693501505937	150.63447463180427	259.84384986406116	2602.0725714483387	3.281025123774157	0.6903566793741085	0.0014687274156685805	-317393.46400440927	-472.28827898789064
46000	-317877.1834053215	-482.55658189178854	-317394.6268234297	550.2753153324248	149.1743751794018	263.63190240222224	2445.2433143850544	3.281025123774157	0.6903566793741085	0.0014675133074570502	-317394.6268234297	-472.01668878099207
47000	-317878.170552857	-481.4788135709874	-317396.691739286	552.234662179353	147.38434954369473	257.6308177946622	2188.9130963527464	3.281025123774157	0.6903566793741085	0.001500539332253107	-317396.691739286	-471.0274269403635
48000	-317878.8669791598	-482.57484608965586	-317396.2921330702	553.3380425993771	147.08154021317068	257.03690292444026	1889.0189966202013	3.281025123774157	0.6903566793741085	0.0014755668352174256	-317396.2921330702	-472.2875725615869
49000	-317869.3855953741	-482.12691241151265	-317387.25868296257	546.8203564728668	149.14423453272065	258.3582256136954	2296.753158630753	3.281025123774157	0.6903566793741085	0.0014909808250940838	-317387.25868296257	-471.6338184852412
50000	-317878.0221753624	-480.60024447597	-317397.4219308864	545.2390125849556	145.67888208630384	252.51905739809953	2012.3421380441073	3.281025123774157	0.6903566793741085	0.001516077514649358	-317397.4219308864	-470.222672144081
51000	-317880.50828619464	-482.54675830483393	-317397.9615278898	553.1100948612843	146.22030079982588	259.3431021982183	1832.4905898572051	3.259936804763272	0.6903566793741085	0.0015079770516258438	-317397.9615278898	-472.2753725309315
52000	-317884.00689782435	-483.9343706832932	-317400.0725271411	560.5590218518508	149.33159931669692	266.2859697458477	2618.489598539748	3.259936804763272	0.6903566793741085	0.0014741528129414974	-317400.0725271411	-473.328726205859
53000	-317887.6105915883	-482.5346042669775	-317405.0759873213	541.6557976392684	144.43536827984758	257.5550806660214	2738.016484109373	3.259936804763272	0.6751712277133058	0.0015243287218296242	-317405.0759873213	-471.850886455059
54000	-317879.33495561633	-479.5267210432812	-317399.80823457305	536.6818851988251	141.1468517786316	250.7366000704132	2170.1778059443636	3.259936804763272	0.6827399627334181	0.0015660913712929642	-317399.80823457305	-469.0484260512813
55000	-317884.0371964689	-484.90744202412395	-317399.12975444476	584.477574716622	152.80673617627994	268.2361072533185	2059.5950748887394	3.259936804763272	0.6827399627334181	0.001423179213437598	-317399.12975444476	-474.57704088091646
