# BEAST v1.6.1, Build r3651
# Generated Sat Jan 02 16:36:19 EST 2016 [seed=1451770534910]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SIV-cpz)	tmrca(SIV-smm)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	coalescent
0	-503874.79729474976	-893.8144073119366	-502980.9828874378	86301.461599237	20237.410790871814	48735.08105077266	15908.530905441263	20142.48251980412	20000.0	2.0	2.0	2.0	0.5	0.5	0.5	1.0	1.0	1.0	1.2E-5	-160220.80352033675	-166112.80087481748	-176647.37849228355	-882.7200263091029
100	-457219.5604785788	-832.7182481703336	-456386.84223040845	76815.00098748469	23203.675936835163	35973.72379901728	18240.297613936207	23094.833710828054	40295.2641006236	2.0	2.0	2.0	0.5	0.5	0.5	1.0	1.0	1.0	1.265790235938471E-5	-145761.18918321133	-150690.98379068007	-159934.6692565171	-820.8700438067373
200	-436819.29647168645	-854.8591870577637	-435964.4372846287	76815.00098748469	13808.035650386624	26365.85608125216	18240.297613936207	23094.833710828054	40295.2641006236	2.0	2.0	2.0	0.5	0.5	0.5	0.9762440360833067	1.0237559639166933	1.0	1.6701883524495632E-5	-139362.70873888614	-143926.81134480154	-152674.917200941	-842.7340201435248
300	-423680.08164592687	-910.2844939488452	-422769.797151978	93376.71142887716	15449.819600438408	32050.470653193253	22172.99986692521	28074.198987060518	44153.751649005804	2.0	2.0	2.0	0.5	0.5	0.5	0.9762440360833067	1.0237559639166933	1.0	1.5554441730029942E-5	-135031.5433206439	-139573.00237565846	-148165.25145567572	-898.1389871672467
400	-415760.7092384613	-806.7717842138758	-414953.9374542474	93376.71142887716	15449.819600438408	32050.470653193253	46225.55010698921	16871.111951467574	82851.19981965044	2.0	2.0	2.0	0.5	0.5	0.5	0.9762440360833067	1.0237559639166933	1.0	2.1948882985830995E-5	-132446.83541882652	-137075.59169453484	-145431.51034088605	-793.6528834592383
500	-408580.92928554007	-812.2787543733974	-407768.6505311667	107216.34002805449	21619.800676093007	41177.1062827547	59756.089684115635	23608.69492381835	142986.28621162107	2.0	2.0	2.0	0.5	0.5	0.5	0.9762440360833067	1.0237559639166933	1.0	1.5684986538159976E-5	-130112.78759616274	-134765.5218302552	-142890.34110474878	-798.9498273791309
600	-401961.0994450154	-860.8098161700519	-401100.28962884535	140457.32851815972	28322.729961352416	49417.47515998595	73848.2383032282	30928.25420017217	142986.28621162107	2.0	2.0	2.0	0.5	0.5	0.5	0.9762440360833067	1.0237559639166933	1.0	1.1972937743817276E-5	-127868.34324599734	-132530.93095478605	-140701.01542806195	-847.7506741928026
700	-397158.2410620273	-903.5560430637366	-396254.68501896353	232289.0890178914	48383.437595146905	84419.38078622746	76582.18371191974	52834.42871018413	218583.15407083606	2.0	2.0	2.0	0.6461166431894418	0.5	0.5	0.9762440360833067	1.0237559639166933	1.0	6.8019807774469915E-6	-126311.60809967936	-130947.63273975169	-138995.44417953244	-890.6373529261194
800	-395772.04370825586	-845.6954747706042	-394926.34823348525	184120.01197555911	32910.71340984113	67601.1023084796	61325.2547922132	42308.59771041967	271802.1906451883	2.0	2.0	2.0	0.6461166431894418	0.5	0.5	0.9762440360833067	1.0237559639166933	1.0	8.148404631290573E-6	-125842.87491841073	-130523.64724342882	-138559.82607164574	-832.3784488916888
900	-394528.4724217003	-832.2745309464734	-393696.19789075386	184548.97568543133	34194.23528093406	70237.55361363357	63716.94727228611	41765.80113872821	347127.6644749024	2.0	2.0	2.0	0.6461166431894418	0.5	0.5	0.9444201101723876	1.0237559639166933	1.0318298643184411	7.842544433720727E-6	-125477.00847401303	-130126.26068455764	-138092.92873218315	-818.7511075795553
1000	-390707.18447102647	-843.9493546207241	-389863.23511640576	201779.33831699213	37386.77033354619	76795.26283213095	69411.31713179423	42854.41429081869	347127.6644749024	2.0	2.0	2.0	0.6461166431894418	0.5	0.5	0.9058466108089112	1.0237559639166933	1.0704105615731965	7.172853048694725E-6	-124119.30937784856	-128889.11588685082	-136854.80985170638	-830.5151018312597
1100	-388860.33809245273	-834.7062694020308	-388025.6318230507	201779.33831699213	36925.27011703131	76795.26283213095	66069.08974967556	42854.41429081869	448122.3583921337	2.0	2.0	2.0	0.6461166431894418	0.6418142648813019	0.5	0.9058466108089112	1.0237559639166933	1.0704105615731965	6.891110643609531E-6	-123561.80278838295	-128239.60478419621	-136224.22425047154	-821.0566740682366
1200	-383523.8569157936	-830.2633422967093	-382693.5935734969	177106.40008945903	33368.54827889314	69398.17710967285	59705.172205029194	38726.58446897338	448122.3583921337	2.0	2.0	2.0	0.6461166431894418	0.6418142648813019	0.5	0.9058466108089112	1.0237559639166933	1.0704105615731965	6.295985290087242E-6	-121798.59888949218	-126445.95576401967	-134449.0389199851	-816.7039767371891
1300	-381751.9004869859	-844.5270637597288	-380907.3734232262	211173.58777556464	42882.41853781821	85928.03534558807	76728.00632408871	49768.110672921764	620493.2545911663	2.0	2.0	2.0	0.6461166431894418	0.6418142648813019	0.5	0.9500019855753409	0.9796005891502636	1.0704105615731965	4.8991613877887895E-6	-121231.84296117643	-125847.75913264483	-133827.7713294049	-830.8928470659521
1400	-378360.2240488489	-852.4617980033488	-377507.76225084555	246333.1450417282	50022.169612627935	100234.70935404908	89502.912318192	58054.30193228074	784856.6801558661	2.0	2.0	2.0	0.6461166431894418	0.6418142648813019	0.5	0.9500019855753409	0.9796005891502636	1.0704105615731965	4.199895581147308E-6	-120234.85341280539	-124688.14296412258	-132584.7658739176	-838.7464452932579
