# BEAST v1.6.1, Build r3651
# Generated Wed Jan 06 01:39:04 EST 2016 [seed=1452062334603]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SIV-cpz)	tmrca(SIV-smm)	constant.popSize	kappa	alpha	clock.rate	treeLikelihood	coalescent
0	-533837.0060839618	-872.2074338151739	-532964.7986501466	92956.29583378015	67134.3074694386	44664.29239367107	45199.84675374622	11084.4478709358	20000.0	2.0	0.5	1.2E-5	-532964.7986501466	-864.8437728802886
1000	-393905.1402825539	-920.5141180483811	-392984.62616450555	892675.0842587043	223793.96461597903	412429.1614921274	169648.68998015762	95684.35560725546	837664.0261421601	2.1072236935562705	0.5	2.2901277846455186E-6	-392984.62616450555	-911.0273742385328
2000	-368077.7242900584	-952.7070397693296	-367125.0172502891	2104618.4178000404	893565.4711435916	428279.0317546857	532433.8442328306	327792.731206917	6742230.091040072	2.9645655846655705	0.5	6.332020482308057E-7	-367125.0172502891	-942.0960359341184
3000	-351735.62421502423	-990.3439859899527	-350745.28022903425	3003640.7642657487	1243606.509591788	836755.872098042	1708228.1448080782	662859.981927849	1.1285690293572763E7	2.9645655846655705	0.6189804248863457	3.118493410892938E-7	-350745.28022903425	-979.9253984250762
4000	-340234.729935168	-989.8287551838042	-339244.9011799842	3115581.040358535	1614999.7371575227	798222.012528179	1614999.7371575227	731196.8960147906	1.6157538163860628E7	2.9645655846655705	0.7746690197172694	2.6813478337531484E-7	-339244.9011799842	-979.2021958788705
5000	-337828.45913286286	-1029.5799131194574	-336798.8792197434	6886831.60216356	2957253.9335929137	1510650.8296917821	3154338.5037757633	1550630.0573011308	2.4375853798694566E7	2.9645655846655705	0.7746690197172694	1.3042721561967397E-7	-336798.8792197434	-1019.2621012371279
6000	-336652.34672608745	-1021.468221050899	-335630.8785050365	6043339.904610991	2228096.8321456695	1228454.0739604041	2861934.6084258184	1559482.0404123373	1.931105529476768E7	2.9645655846655705	0.7746690197172694	1.5353220011237656E-7	-335630.8785050365	-1011.2203925810293
7000	-336387.0410540773	-1033.5825796807867	-335353.4584743965	7940809.61015399	2821326.3477385244	1550162.9944654084	3642940.768226274	1983863.2622054906	3.1314966610268533E7	3.131307174008475	0.7318432506837508	1.237996652496601E-7	-335353.4584743965	-1023.0076476403204
8000	-335926.02210609405	-1021.2088838052645	-334904.8132222888	6164425.258763739	2320192.827524	1228356.1984299205	2900601.6275247606	1581818.358562373	2.0799661732396547E7	3.131307174008475	0.6844859372908966	1.5423284870539584E-7	-334904.8132222888	-1010.8235321808102
9000	-335833.8083362506	-962.4718893845088	-334871.3364468661	2239426.7367783957	838251.1022026638	434790.97845795966	1091171.2662348156	567007.9821799832	8690568.344835153	3.131307174008475	0.6908072846881038	4.4021324382609456E-7	-334871.3364468661	-951.9114891504585
10000	-335804.75026486313	-951.6138335096897	-334853.13643135346	1842358.4754579165	692948.5283210106	350270.3788853311	886668.3619726816	464432.54698140064	7554685.256239554	3.131307174008475	0.6908072846881038	5.259342634843709E-7	-334853.13643135346	-941.0157646213102
11000	-335843.98390857514	-1000.146558864489	-334843.83734971064	4369599.367226167	1631818.3349258993	830945.6698249516	2081813.8672201	1102758.6022054397	1.8363796329833467E7	3.131307174008475	0.689153417696268	2.186262774220659E-7	-334843.83734971064	-989.5372114171574
12000	-335839.22370526346	-1006.8645890295718	-334832.3591162339	4923407.242714648	1847615.3879930773	941257.3728003802	2378185.844311279	1251765.363961163	2.0190054182202414E7	3.131307174008475	0.7032630426818735	1.9782736015535354E-7	-334832.3591162339	-996.2603016772342
13000	-335836.8679018945	-1004.7141431407797	-334832.15375875373	4712339.668156668	1793204.4027164385	888210.7850215936	2284408.458204876	1193073.4553179776	1.746256195698431E7	3.131307174008475	0.7032630426818735	2.0587025272959936E-7	-334832.15375875373	-994.2151750858969
14000	-335828.1347759461	-1000.9941426354799	-334827.1406333106	4508361.411528697	1659074.0350061953	833668.0241592267	2105153.0317103546	1104297.467829956	1.4793305091308206E7	3.131307174008475	0.7032630426818735	2.2297549738023574E-7	-334827.1406333106	-990.5813231902215
15000	-335851.6011134982	-1023.2476180956327	-334828.35349540255	6780014.438668193	2501200.104795953	1266121.9899341343	3128426.577692815	1671177.5677297234	2.5784340097353734E7	3.1877614750864542	0.7002346012864596	1.444757305134505E-7	-334828.35349540255	-1012.6931342755591
16000	-335867.19000359846	-1039.0368729180434	-334828.15313068044	8964336.978421208	3218253.221369991	1667224.2355598477	4181450.217065576	2207591.9853601614	3.1765906653611436E7	3.1877614750864542	0.7002346012864596	1.1192896953686726E-7	-334828.15313068044	-1028.5287546577429
17000	-335905.0151949705	-1084.731451667164	-334820.2837433033	2.0626207184653807E7	7250865.191346145	3741415.0052666413	9412513.8768329	5125356.03619843	8.503008022342098E7	3.1877614750864542	0.7002346012864596	4.8954132374719996E-8	-334820.2837433033	-1074.064875628026
18000	-335918.69761818426	-1098.702122661752	-334819.9954955225	2.581001493841432E7	9386616.774461448	4731309.35129019	1.1904321957241656E7	6434147.08637858	8.226363002078608E7	3.1877614750864542	0.7002346012864596	3.8745540754784337E-8	-334819.9954955225	-1088.3022568567776
19000	-335869.3890310405	-1048.8385005686628	-334820.55053047184	1.0385543968075946E7	3864000.4177082223	1948321.154104276	4899976.426670774	2645918.7188522425	4.7300989903836064E7	3.1877614750864542	0.7002346012864596	9.416537395135573E-8	-334820.55053047184	-1038.104883805479
20000	-335844.80789093906	-1023.4514161815798	-334821.3564747575	6540081.606404549	2484137.2869677767	1252450.8167722847	3158010.8969279216	1703560.9586267648	2.494419698383195E7	3.22069623461502	0.7002346012864596	1.4316291586030728E-7	-334821.3564747575	-1012.9278171655503
21000	-335832.67325074394	-1009.6668698311688	-334823.0063809128	5458232.266377068	1946605.9093778785	979100.6023290674	2468519.2320430824	1339653.5169942155	2.081097071755038E7	3.22069623461502	0.7002346012864596	1.873398228218977E-7	-334823.0063809128	-999.0557597308753
22000	-335814.9681326212	-992.1531047984481	-334822.81502782274	3748654.2629081514	1423382.1244718407	721451.523553989	1789542.6287401118	974876.872180459	1.6697551382766511E7	3.22069623461502	0.7002346012864596	2.6363385128598763E-7	-334822.81502782274	-981.4209175247058
23000	-335837.66160283936	-1008.1942914191934	-334829.4673114202	4872415.152154634	1880054.1133707725	941584.7358376384	2384261.2920742584	1297074.558894449	1.6863231236185867E7	3.22069623461502	0.7002346012864596	1.9570476357717048E-7	-334829.4673114202	-997.7498866893745
24000	-335828.00734113477	-1002.3150554491059	-334825.6922856857	4438733.924573746	1651210.4496124384	828073.0350823345	2092677.9868283675	1134925.3966287374	2.2656045233741287E7	3.170597340213247	0.7002346012864596	2.2256055995716297E-7	-334825.6922856857	-991.4641967345716
25000	-335844.6500814997	-1012.5219192692338	-334832.1281622305	5388658.739572066	2014847.9687990681	1012857.4263396788	2566633.861560957	1383737.0913335755	2.454195849653351E7	3.170597340213247	0.7002346012864596	1.7875913436245946E-7	-334832.1281622305	-1001.8100438269609
26000	-335860.78592709836	-1035.3984992605056	-334825.3874278379	8163577.829741663	3024528.8336483566	1518144.9754469031	3863229.8480262486	2085132.4424054604	2.7021110867174737E7	3.170597340213247	0.7002346012864596	1.2047313526030287E-7	-334825.3874278379	-1024.9846075031844
27000	-335871.6107419605	-1042.554336226853	-334829.0564057337	9223817.462132793	3485673.222072452	1747031.8702468735	4450157.811510753	2363875.157254653	3.446487539892072E7	3.170597340213247	0.6973547863292089	1.0281771032122979E-7	-334829.0564057337	-1032.0554329104118
28000	-335879.1544178021	-1060.7477556218912	-334818.4066621802	1.2755939491779959E7	4792349.514092163	2394534.4316124446	6121460.248349573	3247674.0135491327	5.6848098897172295E7	3.170597340213247	0.6973547863292089	7.606533842413712E-8	-334818.4066621802	-1050.0494737931526
29000	-335895.0451173498	-1073.597380998298	-334821.44773635146	1.6150045113918073E7	5975146.427030271	3059161.4900631527	7771604.773110924	4134400.7730876757	6.175960462489414E7	3.170597340213247	0.6973547863292089	5.906620828874254E-8	-334821.44773635146	-1063.068913208861
30000	-335905.9305436458	-1076.9971893692993	-334828.9333542765	1.6970566218852513E7	6355966.278222855	3235532.8969332795	8266897.123246468	4400404.628851291	6.1814949552467875E7	3.170597340213247	0.6973547863292089	5.5387718007023996E-8	-334828.9333542765	-1066.5320626618663
31000	-335941.8356156847	-1118.0432386883274	-334823.79237699637	3.654068561306167E7	1.3372047574740479E7	6754431.662684326	1.7230591905101802E7	9033503.599357791	1.3956210757694674E8	3.170597340213247	0.6973547863292089	2.681711041335199E-8	-334823.79237699637	-1107.4883399232442
