# BEAST v1.6.1, Build r3651
# Generated Sun Jan 24 07:25:06 EST 2016 [seed=1453638294803]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-2)	tmrca(HIV-1)	constant.popSize	kappa	alpha	clock.rate	treeLikelihood	coalescent
0	-592457.4377028077	-437.95196396652244	-592019.4857388412	1014.1191747325355	414.0060238787768	232.57994705599523	330.0	2.0	0.5	7.5E-4	-592019.4857388412	-430.5616658015272
1000	-403123.04913846997	-554.2496542563214	-402568.79948421364	1144.2051377744767	804.1651204748725	1053.4834261947515	8763.975998057764	2.0	0.405676540117616	6.966482551729052E-4	-402568.79948421364	-543.6537626231158
2000	-371312.10522656183	-558.631593223303	-370753.4736333385	1090.8952239066527	506.1967294474864	843.3110092871726	14681.59633827813	2.120332692063391	0.463756319597044	5.074388213827681E-4	-370753.4736333385	-547.7883001036397
3000	-346501.88860138936	-497.94670563432373	-346003.94189575507	517.3887025424478	181.46239813609301	273.08068557869353	3664.184464102371	2.8942261891183176	0.463756319597044	0.0014646884831240085	-346003.94189575507	-487.13978445126116
4000	-330260.1406134349	-489.67093586080176	-329770.4696775741	549.4696669617668	179.09888643817428	290.74152001727117	2532.7618080127695	2.8942261891183176	0.49132526851570046	0.001401482196377372	-329770.4696775741	-479.277378280305
5000	-323284.2112549805	-479.2340156541524	-322804.97723932634	504.0963619064533	146.84124990612267	268.9556019110185	2159.747123253924	3.1627635701554215	0.7204861571375847	0.0015896287058248945	-322804.97723932634	-468.77912377495056
6000	-322561.20224834577	-480.9816216504719	-322080.2206266953	519.9847896294606	142.87782375749586	261.2807465983267	2458.1099858466023	3.1627635701554215	0.7204861571375847	0.0015756184151014768	-322080.2206266953	-470.4061719496005
7000	-320077.13539169024	-479.28811972244074	-319597.8472719678	528.075792270027	144.06079556353257	241.67278739302924	1832.3955994541907	3.1627635701554215	0.7006746450205298	0.0015896495143377471	-319597.8472719678	-468.99758172698967
8000	-318035.12399810884	-478.9571203627499	-317556.1668777461	538.5709036841453	144.14648025066123	237.32889480439425	2443.87342466155	3.1627635701554215	0.7006746450205298	0.001602456745313711	-317556.1668777461	-468.37060595387914
9000	-317941.0399859767	-479.3858958569248	-317461.65409011976	557.0933782484339	144.14074054016118	242.2107029984469	1880.7304461890155	3.1627635701554215	0.6858658506972871	0.001547463516901802	-317461.65409011976	-469.09619136307606
10000	-317914.31394268863	-480.63894639010596	-317433.6749962985	550.8202322260063	144.82204503205114	243.35555100823416	2708.0822587194907	3.1627635701554215	0.6858658506972871	0.0015698259770319583	-317433.6749962985	-469.9703281065556
11000	-317913.40110839595	-480.5105156072519	-317432.8905927887	567.8586581558473	147.66282461366865	248.12913005985203	2084.716281831161	3.1627635701554215	0.6858658506972871	0.001537980023503055	-317432.8905927887	-470.12397970948797
12000	-317913.09036346874	-480.19140032044317	-317432.8989631483	568.0159161473038	146.67722523334646	246.29256909187956	2376.845641577567	3.1627635701554215	0.6994239803277426	0.0015179793820527376	-317432.8989631483	-469.6867996608997
