# BEAST v1.6.1, Build r3651
# Generated Sat Jan 02 17:26:21 EST 2016 [seed=1451773564380]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SIV-cpz)	tmrca(SIV-smm)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	coalescent
0	-567210.2558412332	-884.9020556026618	-566325.3537856305	253063.18989111006	65874.46527185042	25959.2205779833	61234.48919799792	13504.389595299806	20000.0	2.0	2.0	2.0	0.5	0.5	0.5	1.0	1.0	1.0	1.2E-5	-180793.96622142516	-187047.231128894	-198484.1564353114	-873.807674599828
100	-520420.77825175726	-899.1020601315998	-519521.67619162565	187800.5699791924	44091.7158231184	28897.893833605347	59578.73555954761	12814.10132709849	24900.99536278912	2.0	2.0	2.0	0.5	0.5	0.5	1.0	1.0	1.0	1.3326693399292925E-5	-166080.4817030257	-171568.94314410188	-181872.2513444981	-887.6837460897449
200	-478156.2725463195	-968.481911776293	-477187.7906345432	238360.9816277277	55962.261810034746	36677.89901763988	75618.75820550503	16263.964328451073	30114.111965421846	2.0	2.0	2.0	0.5	0.5	0.5	0.8942804453063999	1.0	1.1057392821716172	1.3609290496693384E-5	-153190.3046047571	-157503.2539876584	-166494.2320421277	-956.8525489590049
300	-454533.54737453174	-1179.5517332995196	-453353.99564123224	328533.37998774485	68974.67808823263	54717.147870831075	98822.92391930096	24263.051182342308	35544.69533177176	2.0	2.0	2.0	0.4616673560780379	0.5	0.5	0.9080003735327681	1.0	1.0920167937795042	1.3229807752429327E-5	-145128.44929084068	-149620.33336325284	-158605.21298713872	-1167.784825409752
400	-438260.6686895576	-1063.0795690778396	-437197.58912047977	343565.3567244297	72130.60019417302	56032.86152569201	65721.49375347745	25373.202062437256	52001.05059601698	2.0	2.0	2.0	0.4616673560780379	0.5	0.5	0.9080003735327681	1.0	1.0920167937795042	1.3559971877524981E-5	-139689.6825691142	-144338.88377776483	-153169.02277360074	-1050.9075630816185
500	-429237.48654423415	-1098.113214114504	-428139.37333011965	312788.12112848245	78444.68122749473	60937.79822730973	71474.54219717979	27594.290663749307	52001.05059601698	2.0	2.6610401269722583	2.0	0.4616673560780379	0.5	0.5	0.9123431533403622	1.0	1.087673203600608	1.483649751532721E-5	-136806.0879503785	-141092.50575511926	-150240.77962462185	-1085.5957460299176
600	-424600.0873482864	-1094.2026847429463	-423505.8846635435	209299.93009514763	78444.68122749473	60937.79822730973	69642.21680017456	27594.290663749307	52001.05059601698	2.0	2.6610401269722583	2.0	0.4616673560780379	0.5	0.5	0.9123431533403622	1.0	1.087673203600608	1.483649751532721E-5	-135299.39340308637	-139541.69184330557	-148664.79941715155	-1081.6852166583599
700	-416833.0199416272	-906.5081457433827	-415926.5117958838	236921.8053912815	81079.38326443567	30814.814866115237	74592.68239540816	32140.80270328675	113826.65193804541	2.5001869300098676	2.6610401269722583	2.0	0.4616673560780379	0.5	0.5	0.9123431533403622	1.0	1.087673203600608	1.2305755728374413E-5	-132664.2664109988	-137128.78613296128	-146133.45925192378	-893.1987750963348
800	-410944.75245136046	-917.5557982470906	-410027.19665311335	360011.7731538173	136005.57586167235	52628.49725560834	107914.51694893905	53337.214644617045	227699.2067355087	2.5001869300098676	2.6610401269722583	2.0	0.4616673560780379	0.5	0.5	0.9123431533403622	1.0	1.087673203600608	6.1642614518044116E-6	-130758.46615052522	-135096.35439847084	-144172.3761041173	-904.2436862780798
900	-406015.75005024625	-979.2302452524751	-405036.51980499376	468819.4881551336	195762.9976251836	75967.01399588719	361570.48800210626	76990.01762733166	275575.03887731425	2.5001869300098676	2.6610401269722583	2.0	0.4616673560780379	0.5	0.5	0.9123431533403622	1.0	1.087673203600608	4.2704826718173296E-6	-129056.63050348037	-133456.15232907052	-142523.73697244286	-966.0939732419491
