# BEAST v1.6.1, Build r3651
# Generated Tue Jan 05 02:06:50 EST 2016 [seed=1451977571559]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(CPZ)	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SMM)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	coalescent
0	-519974.7220709331	-810.0350837899528	-519164.6869871431	70030.9361218524	25275.864553030817	45396.11951201541	52648.385913462436	16678.009411203868	20000.0	2.0	2.0	2.0	0.5	0.5	0.5	1.0	1.0	1.0	1.2E-5	-164801.1032343501	-171773.69215915047	-182589.89159364253	-798.940702787119
1000	-389008.4108387889	-855.6769329205077	-388152.7339058684	370782.1899896549	190361.63890309064	370782.1899896549	160299.10060815918	68226.55101207456	938523.1879146824	2.0	2.0134530016277643	2.1874122306955273	0.47434095363929873	0.5000451533921384	0.5	0.9328172609479515	1.0671827390520485	1.0	3.5250583879834513E-6	-124152.85093005862	-128276.42711949018	-135723.45585631958	-841.8778107156885
2000	-365108.0028513755	-921.7531496652177	-364186.2497017103	807487.4524472945	601365.3263214496	734793.928390288	397493.3394923618	212834.19994556007	2748922.173144246	2.6469729398822395	3.152883805114003	2.733087347485104	0.5020820981573343	0.5467224659001445	0.522305543507189	0.8959030062888635	0.9971324617207686	1.1069645319903678	1.125027168699658E-6	-116400.23411745632	-120311.22468461984	-127474.79089963413	-907.1356619235586
3000	-352433.17453801876	-1010.8248876187694	-351422.3496504	3377980.5560241668	2411442.021756636	3260556.122131625	1208110.8872639895	1066074.9644517188	2.4188843445957266E7	2.6469729398822395	3.152883805114003	2.733087347485104	0.5020820981573343	0.5467224659001445	0.8276211719473039	0.8637395477220113	1.0337810068761706	1.102479445401818	2.1775950355939068E-7	-112087.1769292702	-116170.67852008098	-123164.4942010488	-995.673246297554
4000	-345451.53843528917	-1044.2134782536389	-344407.32495703554	6075485.769801728	4300947.894101206	3176401.7008529822	2451185.746318587	1842521.6703445446	3.397316688619261E7	2.6469729398822395	3.1582443831689746	3.134381823706756	0.6037697594566315	0.701423921149735	0.6648754358110225	0.9241064113101641	0.9734141432880178	1.102479445401818	1.2765952006381726E-7	-109660.33780033074	-113885.35315163866	-120861.63400506612	-1029.110304550532
5000	-340946.30273990694	-1077.625388409963	-339868.677351497	1.204485476912675E7	7110720.25693034	6257269.664937903	4623440.075852523	3446407.8009126475	7.049614433596602E7	2.6662226466516037	3.1582443831689746	3.459134347386848	0.6037697594566315	0.701423921149735	0.6648754358110225	0.9241064113101641	1.028740386731202	1.047153201958634	6.127399939138941E-8	-108252.02538331936	-112364.24078907947	-119252.41117909816	-1062.4076818921917
6000	-338251.1689518823	-1135.2759596216686	-337115.89299226063	3.623512493572896E7	2.0117338543959808E7	1.7351126168461762E7	1.0254641465090292E7	9735373.864605788	1.6041310549837935E8	2.774728588580385	3.1582443831689746	3.459134347386848	0.6037697594566315	0.701423921149735	0.7205194365889968	0.9241064113101641	1.028740386731202	1.047153201958634	2.251577536690142E-8	-107281.96150438202	-111510.99077129448	-118322.94071658414	-1120.1962912712127
7000	-337619.543167899	-1171.9989017256964	-336447.5442661733	6.94855135584249E7	3.9126849070050225E7	3.1160453225409023E7	1.9362999319881316E7	2.3718463729666386E7	3.431561365693856E8	2.774728588580385	3.1582443831689746	3.459134347386848	0.6655879141749836	0.701423921149735	0.7205194365889968	0.9241064113101641	0.9787688290337004	1.0971247596561355	1.1308440649475783E-8	-107057.47134859175	-111301.41822287318	-118088.6546947084	-1156.8467783373578
8000	-337255.9829689057	-1161.7712218538456	-336094.21174705186	6.940017415486863E7	3.1130595266510125E7	2.4787346519953992E7	1.4621828887958473E7	1.846632578737626E7	3.4258943319961184E8	2.774728588580385	3.1582443831689746	3.459134347386848	0.6655879141749836	0.701423921149735	0.7205194365889968	0.9241064113101641	0.9787688290337004	1.0971247596561355	1.40112402284687E-8	-106912.66968585721	-111163.91594385594	-118017.6261173387	-1146.406655111844
9000	-336345.8548339452	-1154.3108285012715	-335191.5440054439	6.3285575470673926E7	2.8779276600534666E7	2.2910633047377944E7	1.1459054616426708E7	1.706870840663445E7	2.272461130206047E8	2.774728588580385	3.1582443831689746	3.459134347386848	0.6655879141749836	0.6358887590173582	0.7205194365889968	0.9241064113101641	0.9787688290337004	1.0971247596561355	1.5155983758333955E-8	-106599.31794299999	-110877.27645470583	-117714.94960773815	-1139.2783038681891
10000	-336302.3338457735	-1151.9429999031317	-335150.39084587037	5.8357331748476624E7	2.6827775285608254E7	2.135497228435867E7	1.1438680533400817E7	1.5702163708629252E7	1.832582619569067E8	2.774728588580385	3.1582443831689746	3.459134347386848	0.6655879141749836	0.6358887590173582	0.7205194365889968	0.9241064113101641	0.9787688290337004	1.0971247596561355	1.6808013599241815E-8	-106589.13450623081	-110851.04032177439	-117710.21601786514	-1137.0222555823143
11000	-336296.0184707054	-1154.219390827329	-335141.7990798781	6.496505128041716E7	2.8762706930054273E7	2.319247331639042E7	1.226302531489778E7	1.6735608445660114E7	2.4932667171809375E8	2.774728588580385	3.1582443831689746	3.459134347386848	0.7397783652312635	0.6358887590173582	0.7205194365889968	0.9241064113101641	0.9809027074290917	1.0949908812607443	1.5439014025319894E-8	-106587.69719909753	-110853.87721750957	-117700.22466327099	-1139.0756520911884
12000	-336246.97362334176	-1120.6209792752643	-335126.3526440665	3.4584060146566145E7	1.5771984573923834E7	1.255820055320231E7	6592402.067633015	8996947.229330517	1.5888792657267568E8	2.774728588580385	3.1582443831689746	3.4774386229217153	0.7397783652312635	0.6827217446061505	0.7205194365889968	0.9241064113101641	0.9809027074290917	1.0949908812607443	2.8400430880361657E-8	-106589.21393292006	-110843.46880010846	-117693.66991103797	-1105.3128076729752
13000	-336195.24275017437	-1080.2342847689006	-335115.00846540544	1.6863024968641E7	7656250.846298438	6098715.818997981	3184578.755785935	4368718.769431373	7.80023867838847E7	2.774728588580385	3.2731514126868304	3.4774386229217153	0.7397783652312635	0.6827217446061505	0.7205194365889968	0.9241064113101641	1.0175811334947436	1.0583124551950924	5.87639143600739E-8	-106579.62078988802	-110841.14683643157	-117694.24083908586	-1064.8715995456937
14000	-336186.02599757625	-1087.642226096741	-335098.3837714795	1.950035303617665E7	8816173.232846417	7020126.3973293565	3662097.0306522422	5024818.772527958	6.712880588145061E7	2.774728588580385	3.2731514126868304	3.4774386229217153	0.7397783652312635	0.6827217446061505	0.7205194365889968	0.924130698272066	1.0065290414391184	1.0693402602888158	5.111307345129681E-8	-106569.32783468976	-110834.21003204056	-117694.84590474915	-1072.569015222386
