# BEAST v1.6.1, Build r3651
# Generated Sat Jan 02 16:28:17 EST 2016 [seed=1451770041623]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(CPZ)	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SMM)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	coalescent
0	-535941.0133046444	-911.9294630082204	-535029.0838416362	144522.32699906835	52078.18195847699	32596.696613951455	18966.574041896005	63058.42982167128	20000.0	2.0	2.0	2.0	0.5	0.5	0.5	1.0	1.0	1.0	1.2E-5	-170365.13550925656	-176818.21904902338	-187845.7292833562	-900.8350820053867
1000	-392725.9390056855	-880.718813674412	-391845.2201920111	684992.5653505034	71801.48587499182	220992.7908769339	79282.96496439527	118210.78061297166	880697.8369770033	2.0	2.046233176171004	2.4585155640113174	0.5	0.5	0.5	0.9694872401671708	1.0	1.0305127598328292	3.4445516465046425E-6	-125270.83624016952	-129583.93201362767	-136990.45193821387	-866.8882745102345
2000	-363969.56116089923	-966.6378749874234	-363002.9232859118	2119368.843851483	798618.3461550095	1228704.3080392065	621145.8518882396	384208.1591533994	8864146.27152022	2.0	2.6635827874677327	2.4585155640113174	0.5	0.5	0.6036001432752953	0.9356286690441855	1.0172636636986798	1.0471076672571344	5.34188589964674E-7	-115652.43856213182	-119974.07623746563	-127376.40848631437	-952.1222228662439
3000	-354200.4757395824	-1014.4264166766558	-353186.0493229057	4549564.386137372	2013914.0451470474	2244649.0814677957	1446690.1275154902	896345.3271812835	2.1482864199866302E7	2.2576437907495026	2.6635827874677327	3.1907742160649146	0.5	0.5545707273200292	0.6036001432752953	0.9356286690441855	1.0172636636986798	1.0471076672571344	2.0549341434703437E-7	-112558.037449848	-116832.54380475373	-123795.46806830404	-999.61213050027
4000	-342215.2311898704	-1023.5773379892457	-341191.65385188116	6370898.426485048	2579430.246269791	2467628.433696834	1329793.7587990246	1348938.0029388224	2.26549174306691E7	2.616534158594049	2.6635827874677327	3.1907742160649146	0.5	0.5545707273200292	0.7084305626437554	0.9454311886271557	0.9817942463044349	1.0727745650684093	1.5994987847459315E-7	-108681.44934745655	-112871.45215451228	-119638.7523499123	-1008.8232712438834
5000	-337280.70464706974	-1014.2333047322628	-336266.4713423375	5279750.775070808	2133781.372857565	1676202.1743019694	900723.6031626693	1221364.7219356822	2.740651421577627E7	2.8064897839110174	2.6635827874677327	3.1907742160649146	0.5743272396450931	0.6730245441231495	0.7084305626437554	0.9454311886271557	0.9817942463044349	1.0727745650684093	1.975981996984614E-7	-106915.1244559121	-111293.7461830033	-118057.60070342208	-999.007725864291
6000	-336243.7095964241	-1020.1343944604998	-335223.5752019636	6262366.609142175	2543520.534436299	2115325.4942664853	1156476.5711696355	1455544.3206948054	1.9838250034049325E7	2.775092316832389	2.710342033461281	3.1907742160649146	0.5743272396450931	0.6730245441231495	0.7084305626437554	0.970914334837373	0.9604524661087308	1.0686331990538962	1.657876802730343E-7	-106590.17064246921	-110910.77872168137	-117722.625837813	-1005.4015033602866
7000	-336107.69878803584	-1062.2702633811252	-335045.4285246547	1.2846775466152506E7	5566310.375549864	4526496.618358822	2473243.364081244	3108125.814729518	4.6541816005588554E7	2.815244499687572	2.710342033461281	3.828404652230443	0.5743272396450931	0.6730245441231495	0.7540265101308194	0.970914334837373	0.9604524661087308	1.0686331990538962	7.864094737241567E-8	-106543.21472687916	-110850.21037719287	-117652.00342058271	-1047.2035890832842
8000	-335959.79513499816	-1013.5267012624498	-334946.2684337357	5347838.840932259	2480749.0341654387	1893665.9799774054	927587.6410316589	1297503.5970285803	2.063022404244354E7	2.924483420172151	2.825692138410022	3.828404652230443	0.5743272396450931	0.6730245441231495	0.7540265101308194	0.970914334837373	0.9604524661087308	1.0686331990538962	1.9217288111829588E-7	-106530.01222616018	-110821.12161800124	-117595.13458957429	-998.2994688130137
9000	-335916.2386678265	-1038.8954246483102	-334877.3432431782	8449809.254572922	3816625.134624401	3052016.912327506	1430386.3623530928	2025099.2022408214	3.612446103199409E7	2.924483420172151	3.5548652434117938	3.828404652230443	0.5743272396450931	0.6730245441231495	0.7078494243138016	0.970914334837373	0.9604524661087308	1.0686331990538962	1.251604591249357E-7	-106521.24189180901	-110772.27843494009	-117583.82291642914	-1023.2842278176776
10000	-335867.61029423977	-1019.8544165994833	-334847.7558776403	5880654.4814952575	2666613.6933279783	2132178.118719679	1055536.766330319	1414556.5858170094	2.775083999177602E7	2.924483420172151	3.5548652434117938	3.700578354282867	0.587186483027963	0.6730245441231495	0.7078494243138016	0.9655098522937507	0.965856948652353	1.0686331990538962	1.8196878507230172E-7	-106511.89759721147	-110760.56403258003	-117575.29424784875	-1004.1740922762813
11000	-335906.3637710286	-1063.6511951345028	-334842.7125758941	1.2507716913652597E7	6021639.835700681	4811577.495451242	2438607.1175920074	3198096.0263959304	4.747376449439613E7	2.924483420172151	3.5548652434117938	3.700578354282867	0.587186483027963	0.6481955729050677	0.7175945990194322	0.9655098522937507	0.965856948652353	1.0686331990538962	8.045459474976434E-8	-106510.56529290754	-110759.69963072958	-117572.44765225697	-1048.2492857237723
12000	-335852.3136762618	-1049.5389205047659	-334802.77475575707	9885405.29728263	4744058.900340091	3601318.714522844	1853448.0100478411	2448198.257740769	3.0858674339136176E7	2.924483420172151	3.5548652434117938	3.700578354282867	0.7586236826477518	0.6481955729050677	0.7175945990194322	0.8993139425392136	1.0320528584068902	1.0686331990538962	1.032890248106057E-7	-106477.65266779833	-110754.87088394428	-117570.2512040145	-1034.318182135633
13000	-335857.4266550656	-1056.53965565858	-334800.886999407	1.1016713680109488E7	5279005.06418557	4074258.0023346846	2096207.189542579	2770644.269696483	3.424377341099839E7	2.924483420172151	3.5548652434117938	3.700578354282867	0.746006941293411	0.6481955729050677	0.7175945990194322	0.9089539524021273	1.0320528584068902	1.0589931891909825	9.042183432310709E-8	-106472.76982890209	-110756.42275762281	-117571.6944128821	-1041.3477427392404
