# BEAST v1.6.1, Build r3651
# Generated Sun Nov 08 18:54:00 EST 2015 [seed=1447026808856]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(Felis/Lynx/Puma)	tmrca(Lion/Leopard)	tmrca(untitled3)	yule.birthRate	kappa	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	speciation
0	-14772.187476224126	-5654.688322955999	-9117.499153268127	216.40460429053863	45.78536282238833	103.72782158997529	103.72782158997529	1.0	2.0	0.5	0.038	0.3333333333333333	0.04306904389639881	0.33178538678240793	0.302925346193607	-9117.499153268127	-711.3532446070517
200	-8653.683891100929	-272.91447025509757	-8380.76942084583	90.89197901179321	12.231830036078055	6.575259931809928	19.430969001050265	1.0	2.0	0.5	0.0545226863788934	0.5128901470056381	0.04373634118409726	0.6714753573885976	0.37013472336723297	-8380.76942084583	-257.7363787741692
400	-8223.919057820183	-93.474282459147	-8130.444775361037	24.64491843225324	7.414587020918187	2.0877785429668614	7.414587020918187	0.983795704207285	2.0	0.5	0.04977412332452514	0.614434964058777	0.03535289724253473	0.6598758754525486	-0.30128489799758057	-8130.444775361037	-87.44292330041898
600	-8172.558597015943	-52.99024890923276	-8119.56834810671	13.674912929381673	4.3607329069387415	1.1968488639666222	4.3607329069387415	0.8431107581292416	2.0	0.5	0.08463131694958215	0.5724226583759946	0.0644205737384091	0.4930848432566342	-0.43372117487666506	-8119.56834810671	-43.32171376810564
800	-8141.840070707387	-39.24294068763153	-8102.597130019755	9.876362111463381	3.1115329256079045	0.8432331636998758	3.2719317428870647	0.7062592359132007	2.0	0.43594248764362586	0.1098616303098996	0.5992633132878902	0.07637073044616913	0.5527550181037836	-0.3049317840378279	-8102.597130019755	-26.322209928678504
1000	-8139.496994662006	-33.490496838133325	-8106.006497823872	9.821575311186505	4.002834567693541	0.861252226592247	4.002834567693541	0.5031082212498874	2.0	0.43594248764362586	0.11284378521399663	0.5880218004651414	0.07292991022634787	0.6108495958232131	-0.21385442840284513	-8106.006497823872	-22.38169887172836
1200	-8135.353420717054	-29.983238249650164	-8105.370182467404	7.682817468706289	3.185304481569595	0.7567255918876714	3.185304481569595	0.3899450408533774	2.0	0.43594248764362586	0.14077115955461036	0.5891077702578705	0.0966559259492007	0.6790612885096611	-0.19627722937887965	-8105.370182467404	-17.02345857428697
1400	-8138.0386499269825	-28.459514325154558	-8109.579135601828	7.067725358538963	2.9134088728964804	0.7721068188991611	2.9134088728964804	0.22080642102990175	2.0	0.43594248764362586	0.15302223400765702	0.563279557884815	0.11614882207099529	0.6595739252949931	-0.1911047804596911	-8109.579135601828	-15.01564896265388
1600	-8137.740201877391	-28.112399590823145	-8109.627802286568	11.854160492791946	4.4646444114287664	1.2480419384278507	4.4646444114287664	0.2205788212539264	2.0	0.43594248764362586	0.07637659665871026	0.43661200383769483	0.06530279721426886	0.36154382744113783	-0.25898293497268293	-8109.627802286568	-19.12105052981667
1800	-8130.34692201165	-27.423015017324097	-8102.923906994326	15.965758149849698	6.2079975781212315	2.1090964730599846	6.2079975781212315	0.16145093561751858	2.0	0.43594248764362586	0.04363036728992878	0.47019352812441334	0.04329841348571003	0.35264547464434687	-0.40803428163101285	-8102.923906994326	-21.63477818785309
2000	-8129.206890744126	-27.209857029643025	-8101.997033714483	21.86462884572721	7.8213061214061375	2.9729302414130756	8.114648226047722	0.11233279837900847	2.0	0.43594248764362586	0.028404775238364093	0.3647467217861169	0.028608947830063555	0.26513784923139244	-0.7221694519423564	-8101.997033714483	-22.779780461817893
2200	-8125.492674657566	-27.61728015989602	-8097.87539449767	20.343710202145207	8.734506583830095	2.74063275968596	8.734506583830095	0.10011483941859606	2.0	0.43594248764362586	0.03168659638198659	0.5005564643743329	0.032418312489001073	0.3710937345724556	0.29677366582173753	-8097.87539449767	-22.041014002397603
2400	-8124.105115763181	-25.973023379267513	-8098.132092383913	17.775643076922965	6.431847294060249	2.6485624031058994	6.431847294060249	0.11919351916763446	2.0	0.43594248764362586	0.034962074005477864	0.38323375384620495	0.03906351377592915	0.37854554887708464	-0.2841111216073255	-8098.132092383913	-21.202377032685373
2600	-8123.740470247684	-26.58295422445878	-8097.157516023225	9.88290459906648	3.886949692877984	1.5863001243299286	3.886949692877984	0.10887797786628008	2.0	0.43594248764362586	0.05706037071051207	0.3455459464938954	0.0640201631830335	0.34368251452758514	-0.3649621570406498	-8097.157516023225	-17.64238710641305
2800	-8125.458596778433	-25.35766549296625	-8100.100931285467	12.535966375101603	4.838435748365915	1.8051040394129332	4.838435748365915	0.11531871612944154	2.0	0.43594248764362586	0.04431570253479007	0.2187435803153779	0.04986540623737417	0.2273675734717391	0.02629722461574275	-8100.100931285467	-18.633119828487068
3000	-8123.361769427064	-25.59174657454598	-8097.770022852518	20.051691734302523	6.474771344709363	3.0319019381435197	6.474771344709363	0.07213267193495458	2.0	0.43594248764362586	0.02917809096935625	0.23643724698260213	0.031999403408175746	0.2091915250245833	-0.21279843406513715	-8097.770022852518	-21.58355349534063
3200	-8129.095792657687	-25.804230542134857	-8103.291562115552	20.301746703255027	6.76736749481718	3.52540640876883	6.76736749481718	0.04309857043324395	2.0	0.43594248764362586	0.02873142825111544	0.1756606151367908	0.03053471086618549	0.13259458804641686	-0.21556177091282405	-8103.291562115552	-22.259597741786283
3400	-8124.568555428163	-26.17857045376465	-8098.389984974398	20.62813600311363	6.699991483643128	3.332537460803258	6.699991483643128	0.038555560441277045	2.0	0.511509184480025	0.027689349093865008	0.15892428692420138	0.028467354321992638	0.16750709498499863	0.2567810418027068	-8098.389984974398	-22.61806937289801
3600	-8126.438534502284	-26.267120923570907	-8100.171413578713	16.614142459312117	6.223711052990352	2.3591401130477343	6.223711052990352	0.0413431777822138	2.0	0.511509184480025	0.031359572237889155	0.1285340647021575	0.03230919386603982	0.14656651361114797	-0.11316622784206815	-8100.171413578713	-21.84879206178171
3800	-8126.257618164802	-25.968239437411217	-8100.289378727391	21.202828095786256	7.7084116010640145	2.9204035376324375	7.7084116010640145	0.05130351019637859	2.0	0.511509184480025	0.02700902990529151	0.18073876993597346	0.026596775265385477	0.16865763864888333	-0.013364076895595538	-8100.289378727391	-22.090871909520203
4000	-8124.434333564257	-26.85266840815073	-8097.581665156106	23.471365117042264	8.580851176171716	3.6999615225807405	8.580851176171716	0.04496672333734164	2.0	0.511509184480025	0.02460556512585961	0.16775342371402865	0.02373062467444082	0.13860007527897014	-0.20137625034356701	-8097.581665156106	-22.83487288352699
4200	-8127.099487150662	-26.913648660041193	-8100.185838490621	25.680504898110414	8.496860063417689	4.092264615707707	8.496860063417689	0.060116885473267524	2.0	0.511509184480025	0.023269038489154743	0.12272467742822254	0.02203713725814263	0.1159025787979364	-0.025578031750681553	-8100.185838490621	-23.0313414950715
4400	-8124.842105410085	-26.03012433855394	-8098.811981071532	24.478648968566215	7.386118442318686	3.9827575193828677	7.386118442318686	0.06980571063238038	2.0	0.511509184480025	0.026229943955445232	0.13182008217932448	0.025094941838728565	0.09049961494968922	0.2714213495714959	-8098.811981071532	-22.627381727336758
4600	-8131.159927651783	-28.250360196443946	-8102.909567455339	29.50571938800081	8.519481100945718	3.7826188460146555	8.519481100945718	0.08407566776145592	2.0	0.511509184480025	0.020942250700317338	0.16342642428566972	0.020318260899895257	0.07915126331496647	-0.18740323968163994	-8102.909567455339	-24.29040726434835
4800	-8125.839722201633	-25.495733747025056	-8100.343988454608	21.37137765514023	7.481266086642655	3.4991649640114306	7.481266086642655	0.06842900060774015	2.0	0.511509184480025	0.030073693289694732	0.1701448670245906	0.027943864951440512	0.12390503559898074	0.09367139462547971	-8100.343988454608	-21.972617289982317
5000	-8124.905979796937	-25.543063795296593	-8099.36291600164	22.48852151182679	7.604412894320923	3.4437121612683907	7.604412894320923	0.0667236484813715	2.0	0.511509184480025	0.026191750241330525	0.10788107609475059	0.02543448210878378	0.0830617967678016	-0.22341678080042496	-8099.36291600164	-22.168081388550515
5200	-8130.092386850382	-26.89577463220066	-8103.196612218182	22.9129018609144	5.974487905204079	3.139480777110567	5.974487905204079	0.11331055658660802	2.355440585599373	0.511509184480025	0.02891484635000538	0.15693284868041749	0.029636708344982266	0.1070279145897515	0.04596437707075368	-8103.196612218182	-22.797674337825836
5400	-8124.114490949436	-25.198862414503022	-8098.915628534933	16.885507628914016	5.771543677636019	2.835149184219463	5.771543677636019	0.12621231684813575	2.355440585599373	0.511509184480025	0.03408885108067116	0.16177959103595774	0.03523101526037989	0.1402591050322111	0.10200787870945106	-8098.915628534933	-20.743858256845034
5600	-8123.924692029812	-26.15219935380216	-8097.77249267601	21.423252687532436	6.65667953395534	3.5636346199897178	6.65667953395534	0.1142236341626966	2.355440585599373	0.511509184480025	0.028545879060302672	0.0774289617077876	0.028432924836908402	0.07536888811910995	-0.006444295858957949	-8097.77249267601	-22.74211726508318
5800	-8125.796690111388	-26.242268569411884	-8099.554421541976	21.30735488484474	6.805279863484656	3.037688849418602	6.805279863484656	0.11811111651272149	2.355440585599373	0.511509184480025	0.03190538221632126	0.1228115905505187	0.030186512405237176	0.12378331997674938	-0.3733149249388777	-8099.554421541976	-22.529658856149553
6000	-8127.592132124737	-26.172709881885297	-8101.419422242851	25.584834437092624	7.12477020591186	3.8185111269800616	7.12477020591186	0.07857921663096014	2.355440585599373	0.511509184480025	0.02715391068204572	0.1484558384270561	0.025126295082164754	0.09560117223586609	-0.2777964411632219	-8101.419422242851	-22.62185104611021
