# BEAST v1.6.0pre, Build r2958
# Generated Wed Jun 16 02:41:18 PDT 2010 [seed=1276681169112]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(South America)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	coalescent
0	-17101.84219960061	-619.7248202089447	-16482.117379391668	2212.31753624921	961.3299192985271	690.0	1.0	1.0	1.0	0.5	0.5	0.5	1.0	1.0	1.0	1.9E-4	-2131.4391092339038	-1230.0766119346113	-13120.601658223153	-603.6531590901374
5000	-7418.474104084748	-701.1910886269176	-6717.2830154578305	2830.4795618006847	712.4767717256371	5925.994971609008	1.3399758401311284	1.475767588068737	1.487531058149719	0.35038043999068297	0.29321251700220646	0.9528818493758343	0.33350575167461516	0.10253688467381561	2.5639573636515696	7.069854902806195E-5	-1151.3692546826644	-656.6324603936371	-4909.281300381529	-681.9114331678634
10000	-6461.590344264569	-719.5101243610438	-5742.080219903525	4826.748569733638	1659.2306281797287	7144.325568688128	1.736259392335682	2.533570415979116	1.821022283955988	0.2651054484513053	0.20838382896065658	1.6686986379947653	0.4229763765114771	0.10371189380297999	2.4733117296855434	3.7385675144326366E-5	-1071.594233743381	-616.7163747324657	-4053.7696114276782	-699.047087271775
15000	-6298.183098007769	-701.3161700764498	-5596.86692793132	3928.01590146585	1277.3982328871973	5363.9658431439875	2.028742910500074	3.221308547050006	2.2490852653702933	0.22378484490222414	0.17120985257223423	2.7500378220188155	0.3610034630462032	0.10662828758713785	2.532368249366659	5.2932456313736865E-5	-1067.1777333619054	-609.3557223382886	-3920.333472231126	-680.5279220517563
20000	-6081.128474292669	-671.6753045041456	-5409.453169788523	2784.6865897584744	1187.6519065361651	3848.3298783672967	3.7660366684984337	3.7226837477199357	5.667354773682341	0.28916793155394044	0.2568013560727506	4.918002222425219	0.3312310195334879	0.1346364286915492	2.534132551774963	7.296833402504415E-5	-1042.3242389846964	-603.9459315215845	-3763.1829992822427	-649.4746076011004
25000	-6036.447948390356	-662.3086523206161	-5374.13929606974	2960.6013340397344	875.682072466513	3644.6215037743027	6.480196881907592	4.737086806061918	6.0944237249592295	0.31508799312356717	0.28905189961497396	5.100861412901966	0.4314734121765176	0.0965561667158773	2.471970421107606	7.843125776419837E-5	-1038.493682776029	-612.2258252250783	-3723.419788068633	-639.2449122359944
30000	-5995.665559456465	-650.7390051193104	-5344.926554337155	2365.5909300400563	680.6348926320952	2183.8221757519264	8.591187230858141	4.5717928916128825	12.05946268349282	0.19637291698231982	0.17820003136369258	4.637345681159418	0.5002084018368222	0.09291909330901518	2.4068725048541633	1.1520306118590731E-4	-1035.0282185201884	-610.6525239399006	-3699.2458118770655	-627.1071751971683
35000	-5983.229594057688	-632.9961472679445	-5350.2334467897435	2046.6810193647443	549.7166013895002	2228.5566545683864	11.32780829528655	5.12072993204928	11.072451266586052	0.20176091316252087	0.19008436169519038	3.1668170894216296	0.5280290477023748	0.07238698393438944	2.3995839683632356	1.262343282493036E-4	-1040.8009875765622	-618.4086668088746	-3691.0237924043063	-608.997276719759
40000	-5968.288377049808	-610.7035028629713	-5357.584874186837	1526.5192760895213	578.3723026343952	1721.633804386605	11.584528282765747	3.962393984493125	11.479275671691452	0.2162979475436229	0.14124184804437281	3.9292773320584637	0.5246530441585435	0.08609988698593549	2.389247068855521	1.5834726210753376E-4	-1039.1405383405577	-613.7595244395101	-3704.684811406769	-587.1631403765596
45000	-5963.2866394477705	-612.7462648777995	-5350.540374569971	1675.4606165840428	503.9065112539283	1566.5239342711932	7.254096546408539	4.8769700612436635	14.4481328140006	0.22789984211687472	0.10915987012245121	2.381756045186386	0.4698675237927543	0.11729824945907111	2.4128342267481746	1.497531227787138E-4	-1038.2369825913815	-615.3179334318571	-3696.9854585467324	-589.3403780885077
50000	-5940.960394196546	-609.3197102878779	-5331.6406839086685	1606.689649383694	495.8574991736405	1540.3567046892651	5.82517498712897	5.437660153252251	12.166158645624623	0.22704306791707446	0.11248100202950524	2.1791757847885496	0.36563576375400003	0.11267282015617888	2.521691416089821	1.6808200691806137E-4	-1043.7755300525055	-614.3391485395713	-3673.526005316592	-586.2777603271999
55000	-5941.774465723842	-608.8282492499351	-5332.946216473907	1755.143235774906	455.3341179566671	1492.9850390584459	10.180876951743729	6.134775914993083	11.116642133266678	0.283989052739683	0.0498322287447172	2.0844789119322376	0.4102672526246735	0.11397748203383948	2.475755265341487	1.6887280381706383E-4	-1036.0687668050946	-617.4079220182601	-3679.469527650552	-585.158157995389
